Location,Occupied Housing Units,Home Value 2018,Home Value 2010,Home Value CAGR,Median Rent 2018,Median Rent 2010,Rent CAGR,Rental Vacancy Rate,Vacancy Expense (monthly),Vacancy Expense Final,Taxes,Insurance Final,Capex Final,Property Management,Insurance,Capex,CoCR,CoCR If invested in 2011,CoCR Delta,Rent to Price Ratio
"St. Charles , Missouri",27872,188600,193700,-0%,959,655,4.3%,7%,$62,$62, $	214.50 , $	243.57 , $	173.47 ,$95.90, $	143.50 ,$95.90,1.08%,1.05%,-0.03%,0.51%
"Baton Rouge , Louisiana",85263,169200,156200,1%,860,571,4.7%,9%,$79,$79, $	97.67 , $	338.12 , $	161.60 ,$86.00, $	248.25 ,$86.00,0.69%,0.75%,0.06%,0.51%
"Providence , Rhode Island",61638,192100,242600,-3%,972,744,3.0%,7%,$70,$70, $	298.92 , $	72.55 , $	174.99 ,$97.20, $	100.42 ,$97.20,1.61%,1.28%,-0.34%,0.51%
"Davie , Florida",35096,275200,308900,-1%,1384,992,3.8%,6%,$89,$89, $	304.83 , $	384.02 , $	220.18 ,$138.40, $	297.92 ,$138.40,1.08%,0.96%,-0.12%,0.50%
"Palmdale , California",43890,254800,289100,-1%,1281,913,3.8%,4%,$50,$51, $	284.92 , $	36.76 , $	209.38 ,$128.10, $	66.08 ,$128.10,2.69%,2.37%,-0.32%,0.50%
"O'Fallon , Missouri",30766,217000,211400,0%,1090,756,4.1%,5%,$58,$58, $	224.08 , $	280.25 , $	188.52 ,$109.00, $	143.50 ,$109.00,1.27%,1.31%,0.03%,0.50%
"Rochester , Minnesota",45945,188000,168700,1%,942,656,4.1%,5%,$42,$42, $	184.75 , $	137.07 , $	171.46 ,$94.20, $	111.08 ,$94.20,1.99%,2.22%,0.23%,0.50%
"Dothan , Alabama",26001,146800,141600,0%,735,452,5.6%,12%,$90,$90, $	46.58 , $	239.58 , $	145.92 ,$73.50, $	192.83 ,$73.50,1.14%,1.18%,0.04%,0.50%
"Manchester , New Hampshire",45461,217100,237100,-1%,1086,829,3.0%,5%,$55,$55, $	391.92 , $	60.15 , $	188.07 ,$108.60, $	56.67 ,$108.60,1.56%,1.43%,-0.13%,0.50%
"Jonesboro , Arkansas",28771,152200,131400,2%,758,484,5.1%,5%,$35,$35, $	85.83 , $	277.95 , $	148.87 ,$75.80, $	171.92 ,$75.80,1.06%,1.23%,0.17%,0.50%
"Tampa , Florida",149279,217400,213000,0%,1082,736,4.4%,6%,$65,$65, $	177.50 , $	303.36 , $	187.62 ,$108.20, $	297.92 ,$108.20,1.33%,1.35%,0.03%,0.50%
"Pawtucket , Rhode Island",28196,181900,235400,-3%,903,687,3.1%,4%,$37,$37, $	296.08 , $	68.70 , $	166.81 ,$90.30, $	100.42 ,$90.30,1.61%,1.24%,-0.37%,0.50%
"Hollywood , Florida",56542,236400,250100,-1%,1172,863,3.5%,10%,$116,$116, $	202.58 , $	329.88 , $	197.62 ,$117.20, $	297.92 ,$117.20,1.06%,1.00%,-0.06%,0.50%
